Species;Code_Species;Compartment;AphiaID_Worms;Scientific_Name_Worms;Authority_Worms;Kingdom;Phylum;Class;Order;Family;Genus;rank
Brama brama;Bram.bram;FISH;126783;Brama brama;(Bonnaterre, 1788);Animalia;Chordata;Teleostei;Scombriformes;Bramidae;Brama;Species
Brama caribbea;Bram.cari;FISH;273147;Brama caribbea;Mead, 1972;Animalia;Chordata;Teleostei;Scombriformes;Bramidae;Brama;Species
Brama sp.;Bram.sp;FISH;125924;Brama;Bloch & Schneider, 1801;Animalia;Chordata;Teleostei;Scombriformes;Bramidae;Brama;Genus
Bregmaceros sp.;Breg.sp;FISH;125727;Bregmaceros;Thompson, 1840;Animalia;Chordata;Teleostei;Gadiformes;Bregmacerotidae;Bregmaceros;Genus
Bythitidae sp.;Byth.sp;FISH;125503;Bythitidae;Gill, 1861;Animalia;Chordata;Teleostei;Ophidiiformes;Bythitidae;NaN;Family
Calamus calamus;Cala.cala;FISH;159242;Calamus calamus;(Valenciennes, 1830);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Calamus;Species
Calamus penna;Cala.penna;FISH;159245;Calamus penna;(Valenciennes, 1830);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Calamus;Species
Calamus pennatula;Cala.pennatula;FISH;275972;Calamus pennatula;Guichenot, 1868;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Calamus;Species
Calamus sp.;Calamus.sp;FISH;159240;Calamus;Swainson, 1839;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Calamus;Genus
Calappa sp.;Calappa.sp;CRUS;106873;Calappa;Weber, 1795;Animalia;Arthropoda;Malacostraca;Decapoda;Calappidae;Calappa;Genus
Callyspongia (Cladochalina) aculeata;Call.vagi;SPONGES;166205;Callyspongia (Cladochalina) aculeata;(Linnaeus, 1759);Animalia;Porifera;Demospongiae;Haplosclerida;Callyspongiidae;Callyspongia;Species
Cantherhines macrocerus;Cant.macr;FISH;276250;Cantherhines macrocerus;(Hollard, 1853);Animalia;Chordata;Teleostei;Tetraodontiformes;Monacanthidae;Cantherhines;Species
Cantherhines pullus;Cant.pull;FISH;159493;Cantherhines pullus;(Ranzani, 1842);Animalia;Chordata;Teleostei;Tetraodontiformes;Monacanthidae;Cantherhines;Species
Canthigaster figueiredoi;Cant.figu;FISH;275252;Canthigaster figueiredoi;Moura & Castro, 2002;Animalia;Chordata;Teleostei;Tetraodontiformes;Tetraodontidae;Canthigaster;Species
Canthigaster sp.;Cant.sp;FISH;126238;Canthigaster;Swainson, 1839;Animalia;Chordata;Teleostei;Tetraodontiformes;Tetraodontidae;Canthigaster;Genus
Caranx crysos;Cara.crys;FISH;126802;Caranx crysos;(Mitchill, 1815);Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Caranx;Species
